timestamp_utc,run_id,test_name,loop_index,loops,runs_per_loop,total_runs,total_elapsed_sec,failures,rapl_package_j,rapl_core_j,rapl_gpu_j,rapl_dram_j,query_dir,query_filter,sigless_addr,run_started_utc
"2026-03-05T00:53:10Z","13440236CBE87C33","APX1090-queryA.sql",1,1,100,100,224.869634,0,1608.980957031250000000,1390.353271484375000000,,,"queries","APX1090","127.0.0.1:8000","2026-03-05T00:49:25Z"
"2026-03-05T00:57:09Z","13440236CBE87C33","APX1090-queryB.sql",1,1,100,100,229.690127,0,1662.223083496093750000,1436.274047851562500000,,,"queries","APX1090","127.0.0.1:8000","2026-03-05T00:49:25Z"
"2026-03-05T01:02:16Z","03C570544CCB5141","APX1090-queryA.sql",1,5,100,500,224.137928,0,1629.606201171875000000,1409.040405273437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:06:10Z","03C570544CCB5141","APX1090-queryA.sql",2,5,100,500,223.815558,0,1646.058532714843750000,1425.228454589843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:10:04Z","03C570544CCB5141","APX1090-queryA.sql",3,5,100,500,223.649325,0,1648.886535644531250000,1428.035461425781250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:13:57Z","03C570544CCB5141","APX1090-queryA.sql",4,5,100,500,223.703975,0,1643.601745605468750000,1421.997192382812500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:17:51Z","03C570544CCB5141","APX1090-queryA.sql",5,5,100,500,223.789807,0,1644.016296386718750000,1422.005859375000000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:21:50Z","03C570544CCB5141","APX1090-queryB.sql",1,5,100,500,229.061686,0,1688.058349609375000000,1461.183837890625000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:25:50Z","03C570544CCB5141","APX1090-queryB.sql",2,5,100,500,229.419476,0,1692.242980957031250000,1464.555786132812500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:29:49Z","03C570544CCB5141","APX1090-queryB.sql",3,5,100,500,228.894816,0,1687.204833984375000000,1460.687500000000000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:33:48Z","03C570544CCB5141","APX1090-queryB.sql",4,5,100,500,229.107467,0,1679.181091308593750000,1451.846069335937500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:37:47Z","03C570544CCB5141","APX1090-queryB.sql",5,5,100,500,229.032885,0,1679.722167968750000000,1452.833007812500000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:42:14Z","03C570544CCB5141","APX1092-queryA.sql",1,5,100,500,257.083414,0,3091.761962890625000000,2707.225036621093750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:46:41Z","03C570544CCB5141","APX1092-queryA.sql",2,5,100,500,257.411860,0,3138.568908691406250000,2745.073059082031250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:51:09Z","03C570544CCB5141","APX1092-queryA.sql",3,5,100,500,257.146419,0,3143.696228027343750000,2750.271972656250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T01:55:36Z","03C570544CCB5141","APX1092-queryA.sql",4,5,100,500,257.330217,0,3148.164306640625000000,2753.677856445312500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:00:03Z","03C570544CCB5141","APX1092-queryA.sql",5,5,100,500,257.403731,0,3147.209472656250000000,2752.827331542968750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:04:31Z","03C570544CCB5141","APX1092-queryB.sql",1,5,100,500,257.215316,0,3144.828186035156250000,2751.580017089843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:08:58Z","03C570544CCB5141","APX1092-queryB.sql",2,5,100,500,257.429226,0,3155.054565429687500000,2759.557983398437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:13:25Z","03C570544CCB5141","APX1092-queryB.sql",3,5,100,500,257.185619,0,3145.046936035156250000,2751.501770019531250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:17:53Z","03C570544CCB5141","APX1092-queryB.sql",4,5,100,500,257.418930,0,3153.217285156250000000,2758.034545898437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:22:20Z","03C570544CCB5141","APX1092-queryB.sql",5,5,100,500,257.325108,0,3155.282836914062500000,2759.784240722656250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:28:52Z","03C570544CCB5141","APX1130-queryA.sql",1,5,100,500,381.939373,0,2897.834228515625000000,2487.436462402343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:35:24Z","03C570544CCB5141","APX1130-queryA.sql",2,5,100,500,381.914614,0,2872.617797851562500000,2476.353271484375000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:41:56Z","03C570544CCB5141","APX1130-queryA.sql",3,5,100,500,381.803910,0,2851.435119628906250000,2475.713378906250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:48:28Z","03C570544CCB5141","APX1130-queryA.sql",4,5,100,500,381.894426,0,2842.295410156250000000,2467.378967285156250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T02:55:00Z","03C570544CCB5141","APX1130-queryA.sql",5,5,100,500,382.026456,0,2833.938781738281250000,2459.117431640625000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:00:51Z","03C570544CCB5141","APX1130-queryB.sql",1,5,100,500,340.802401,0,2532.418884277343750000,2197.330566406250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:06:42Z","03C570544CCB5141","APX1130-queryB.sql",2,5,100,500,340.873054,0,2526.815734863281250000,2191.738769531250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:12:32Z","03C570544CCB5141","APX1130-queryB.sql",3,5,100,500,340.786290,0,2531.457885742187500000,2196.408386230468750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:18:23Z","03C570544CCB5141","APX1130-queryB.sql",4,5,100,500,340.698337,0,2531.314270019531250000,2196.782958984375000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:24:14Z","03C570544CCB5141","APX1130-queryB.sql",5,5,100,500,340.917007,0,2523.203857421875000000,2188.076232910156250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:27:52Z","03C570544CCB5141","APX1145-queryA.sql",1,5,100,500,207.909181,0,2394.262023925781250000,2165.115966796875000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:31:30Z","03C570544CCB5141","APX1145-queryA.sql",2,5,100,500,208.007998,0,2417.261169433593750000,2183.059326171875000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:35:08Z","03C570544CCB5141","APX1145-queryA.sql",3,5,100,500,207.780029,0,2428.878417968750000000,2193.742248535156250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:38:46Z","03C570544CCB5141","APX1145-queryA.sql",4,5,100,500,207.947650,0,2439.790893554687500000,2202.344726562500000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:42:24Z","03C570544CCB5141","APX1145-queryA.sql",5,5,100,500,207.834108,0,2441.167419433593750000,2205.087280273437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:45:05Z","03C570544CCB5141","APX1145-queryB.sql",1,5,100,500,150.876876,0,1783.485168457031250000,1609.417724609375000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:47:46Z","03C570544CCB5141","APX1145-queryB.sql",2,5,100,500,150.913610,0,1784.803344726562500000,1610.369567871093750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:50:26Z","03C570544CCB5141","APX1145-queryB.sql",3,5,100,500,150.678291,0,1782.336181640625000000,1608.553405761718750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:53:07Z","03C570544CCB5141","APX1145-queryB.sql",4,5,100,500,150.968581,0,1788.769470214843750000,1613.909729003906250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T03:55:48Z","03C570544CCB5141","APX1145-queryB.sql",5,5,100,500,150.733005,0,1786.689697265625000000,1612.435791015625000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:01:55Z","03C570544CCB5141","APX1173-queryA.sql",1,5,100,500,356.454359,0,2697.859497070312500000,2314.620361328125000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:08:01Z","03C570544CCB5141","APX1173-queryA.sql",2,5,100,500,356.189638,0,2668.485778808593750000,2311.647277832031250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:14:07Z","03C570544CCB5141","APX1173-queryA.sql",3,5,100,500,356.179897,0,2655.762756347656250000,2305.444946289062500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:20:13Z","03C570544CCB5141","APX1173-queryA.sql",4,5,100,500,356.383532,0,2648.323242187500000000,2298.397094726562500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:26:20Z","03C570544CCB5141","APX1173-queryA.sql",5,5,100,500,356.492962,0,2646.893859863281250000,2297.211303710937500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:32:56Z","03C570544CCB5141","APX1173-queryB.sql",1,5,100,500,386.184382,0,2806.227111816406250000,2427.914001464843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:39:32Z","03C570544CCB5141","APX1173-queryB.sql",2,5,100,500,386.035050,0,2819.333923339843750000,2442.083679199218750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:46:08Z","03C570544CCB5141","APX1173-queryB.sql",3,5,100,500,385.993061,0,2816.821166992187500000,2439.490051269531250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:52:44Z","03C570544CCB5141","APX1173-queryB.sql",4,5,100,500,386.018422,0,2820.745300292968750000,2436.453247070312500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T04:59:21Z","03C570544CCB5141","APX1173-queryB.sql",5,5,100,500,386.851034,0,2813.196655273437500000,2433.252868652343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:03:56Z","03C570544CCB5141","APX1186-queryA.sql",1,5,100,500,265.191587,0,1901.406616210937500000,1639.776489257812500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:08:31Z","03C570544CCB5141","APX1186-queryA.sql",2,5,100,500,265.047514,0,1904.916870117187500000,1643.584655761718750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:13:07Z","03C570544CCB5141","APX1186-queryA.sql",3,5,100,500,265.037339,0,1905.251220703125000000,1644.020935058593750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:17:42Z","03C570544CCB5141","APX1186-queryA.sql",4,5,100,500,265.235427,0,1895.246215820312500000,1633.820922851562500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:22:17Z","03C570544CCB5141","APX1186-queryA.sql",5,5,100,500,265.183817,0,1896.293212890625000000,1634.980224609375000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:24:46Z","03C570544CCB5141","APX1186-queryB.sql",1,5,100,500,139.308335,0,1567.768554687500000000,1413.405822753906250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:27:16Z","03C570544CCB5141","APX1186-queryB.sql",2,5,100,500,139.135683,0,1586.576843261718750000,1427.970092773437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:29:45Z","03C570544CCB5141","APX1186-queryB.sql",3,5,100,500,139.081467,0,1587.735412597656250000,1428.478210449218750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:32:14Z","03C570544CCB5141","APX1186-queryB.sql",4,5,100,500,139.203651,0,1592.659973144531250000,1432.787048339843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:34:43Z","03C570544CCB5141","APX1186-queryB.sql",5,5,100,500,138.990881,0,1593.034851074218750000,1433.360656738281250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:36:22Z","03C570544CCB5141","APX1225-queryA.sql",1,5,100,500,89.469187,0,1026.513793945312500000,898.165222167968750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:38:01Z","03C570544CCB5141","APX1225-queryA.sql",2,5,100,500,88.614443,0,1019.720458984375000000,892.442443847656250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:39:40Z","03C570544CCB5141","APX1225-queryA.sql",3,5,100,500,88.585613,0,1017.821533203125000000,890.480895996093750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:41:18Z","03C570544CCB5141","APX1225-queryA.sql",4,5,100,500,88.628999,0,1018.963134765625000000,891.403625488281250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:42:57Z","03C570544CCB5141","APX1225-queryA.sql",5,5,100,500,88.346473,0,1017.725891113281250000,890.085327148437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:43:28Z","03C570544CCB5141","APX1225-queryB.sql",1,5,100,500,21.118549,0,206.692749023437500000,178.795654296875000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:43:59Z","03C570544CCB5141","APX1225-queryB.sql",2,5,100,500,21.129167,0,205.193664550781250000,177.412597656250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:44:30Z","03C570544CCB5141","APX1225-queryB.sql",3,5,100,500,21.122868,0,203.810241699218750000,176.174682617187500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:45:01Z","03C570544CCB5141","APX1225-queryB.sql",4,5,100,500,21.133695,0,203.059631347656250000,175.511779785156250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:45:33Z","03C570544CCB5141","APX1225-queryB.sql",5,5,100,500,21.131121,0,202.709228515625000000,175.197570800781250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:48:18Z","03C570544CCB5141","APX1278-queryA.sql",1,5,100,500,155.718867,0,1820.881713867187500000,1644.597595214843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:51:04Z","03C570544CCB5141","APX1278-queryA.sql",2,5,100,500,155.380245,0,1829.767028808593750000,1651.736511230468750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:53:49Z","03C570544CCB5141","APX1278-queryA.sql",3,5,100,500,155.123150,0,1833.417541503906250000,1655.376892089843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:56:34Z","03C570544CCB5141","APX1278-queryA.sql",4,5,100,500,155.346658,0,1839.327209472656250000,1660.556823730468750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:59:19Z","03C570544CCB5141","APX1278-queryA.sql",5,5,100,500,155.240431,0,1838.585021972656250000,1660.036682128906250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:59:35Z","03C570544CCB5141","APX1278-queryB.sql",1,5,100,500,5.812112,0,42.689758300781250000,35.374755859375000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T05:59:51Z","03C570544CCB5141","APX1278-queryB.sql",2,5,100,500,5.793776,0,42.130371093750000000,34.848571777343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:00:07Z","03C570544CCB5141","APX1278-queryB.sql",3,5,100,500,5.796623,0,41.788208007812500000,34.593750000000000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:00:23Z","03C570544CCB5141","APX1278-queryB.sql",4,5,100,500,5.779423,0,41.232482910156250000,34.311950683593750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:00:39Z","03C570544CCB5141","APX1278-queryB.sql",5,5,100,500,5.789329,0,40.997741699218750000,34.323547363281250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:01:03Z","03C570544CCB5141","PE002-queryA.sql",1,5,100,500,14.137564,0,101.029113769531250000,85.969665527343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:01:26Z","03C570544CCB5141","PE002-queryA.sql",2,5,100,500,13.619938,0,97.303527832031250000,82.725402832031250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:01:50Z","03C570544CCB5141","PE002-queryA.sql",3,5,100,500,13.156735,0,93.806762695312500000,79.685546875000000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:02:13Z","03C570544CCB5141","PE002-queryA.sql",4,5,100,500,13.055471,0,92.748962402343750000,78.700073242187500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:02:36Z","03C570544CCB5141","PE002-queryA.sql",5,5,100,500,13.061582,0,92.705322265625000000,78.697448730468750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:02:59Z","03C570544CCB5141","PE002-queryB.sql",1,5,100,500,13.045037,0,92.777221679687500000,78.762634277343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:03:22Z","03C570544CCB5141","PE002-queryB.sql",2,5,100,500,13.057025,0,92.579162597656250000,78.593200683593750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:03:45Z","03C570544CCB5141","PE002-queryB.sql",3,5,100,500,13.045799,0,92.454895019531250000,78.483886718750000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:04:08Z","03C570544CCB5141","PE002-queryB.sql",4,5,100,500,13.053160,0,92.295532226562500000,78.369628906250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:04:31Z","03C570544CCB5141","PE002-queryB.sql",5,5,100,500,13.037365,0,92.354187011718750000,78.391723632812500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:16:13Z","03C570544CCB5141","PE017-queryA.sql",1,5,100,500,691.267984,0,5268.004333496093750000,4592.115600585937500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:27:53Z","03C570544CCB5141","PE017-queryA.sql",2,5,100,500,690.862569,0,5273.333435058593750000,4599.945617675781250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:39:34Z","03C570544CCB5141","PE017-queryA.sql",3,5,100,500,690.339991,0,5268.426574707031250000,4595.211853027343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T06:51:15Z","03C570544CCB5141","PE017-queryA.sql",4,5,100,500,690.905704,0,5302.179321289062500000,4624.986816406250000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:02:55Z","03C570544CCB5141","PE017-queryA.sql",5,5,100,500,690.404779,0,5277.349060058593750000,4604.778198242187500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:07:25Z","03C570544CCB5141","PE017-queryB.sql",1,5,100,500,260.012063,0,1925.202697753906250000,1668.754455566406250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:11:56Z","03C570544CCB5141","PE017-queryB.sql",2,5,100,500,260.233307,0,1912.425903320312500000,1655.050720214843750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:16:26Z","03C570544CCB5141","PE017-queryB.sql",3,5,100,500,260.028692,0,1919.033691406250000000,1662.351562500000000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:20:56Z","03C570544CCB5141","PE017-queryB.sql",4,5,100,500,260.191747,0,1910.133605957031250000,1652.697875976562500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:25:26Z","03C570544CCB5141","PE017-queryB.sql",5,5,100,500,260.248144,0,1911.854675292968750000,1654.427368164062500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:26:41Z","03C570544CCB5141","PE019-queryA.sql",1,5,100,500,64.409148,0,702.821716308593750000,619.243530273437500000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:27:54Z","03C570544CCB5141","PE019-queryA.sql",2,5,100,500,63.663028,0,703.632202148437500000,618.262939453125000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:29:08Z","03C570544CCB5141","PE019-queryA.sql",3,5,100,500,63.741635,0,708.845092773437500000,621.983581542968750000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:30:22Z","03C570544CCB5141","PE019-queryA.sql",4,5,100,500,63.730999,0,710.580017089843750000,623.412353515625000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:31:36Z","03C570544CCB5141","PE019-queryA.sql",5,5,100,500,63.727266,0,712.605834960937500000,625.149658203125000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:32:49Z","03C570544CCB5141","PE019-queryB.sql",1,5,100,500,63.792805,0,714.698852539062500000,627.042480468750000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:34:03Z","03C570544CCB5141","PE019-queryB.sql",2,5,100,500,63.747380,0,715.434204101562500000,627.806945800781250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:35:17Z","03C570544CCB5141","PE019-queryB.sql",3,5,100,500,63.737667,0,716.129577636718750000,628.444641113281250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:36:31Z","03C570544CCB5141","PE019-queryB.sql",4,5,100,500,63.825384,0,716.790649414062500000,629.053466796875000000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T07:37:45Z","03C570544CCB5141","PE019-queryB.sql",5,5,100,500,63.759923,0,716.981689453125000000,629.301574707031250000,,,"queries","all","127.0.0.1:8000","2026-03-05T00:58:32Z"
"2026-03-05T14:16:50Z","8408AB4E54FCE5C4","APX1090-queryA.sql",1,3,100,300,225.693945,0,1613.500427246093750000,1396.278015136718750000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:21:06Z","8408AB4E54FCE5C4","APX1090-queryA.sql",2,3,100,300,225.361959,0,1627.808898925781250000,1407.017211914062500000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:25:21Z","8408AB4E54FCE5C4","APX1090-queryA.sql",3,3,100,300,224.897818,0,1630.861450195312500000,1410.348388671875000000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:29:40Z","8408AB4E54FCE5C4","APX1090-queryB.sql",1,3,100,300,229.560553,0,1667.850646972656250000,1442.601379394531250000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:34:00Z","8408AB4E54FCE5C4","APX1090-queryB.sql",2,3,100,300,229.358888,0,1664.042114257812500000,1437.184997558593750000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:38:19Z","8408AB4E54FCE5C4","APX1090-queryB.sql",3,3,100,300,229.052905,0,1658.083862304687500000,1432.743652343750000000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:43:06Z","8408AB4E54FCE5C4","APX1092-queryA.sql",1,3,100,300,257.281464,0,3067.084777832031250000,2687.874816894531250000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:47:54Z","8408AB4E54FCE5C4","APX1092-queryA.sql",2,3,100,300,257.346937,0,3107.090087890625000000,2718.910400390625000000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:52:41Z","8408AB4E54FCE5C4","APX1092-queryA.sql",3,3,100,300,257.258402,0,3128.893920898437500000,2736.899475097656250000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T14:57:28Z","8408AB4E54FCE5C4","APX1092-queryB.sql",1,3,100,300,257.370605,0,3134.036437988281250000,2741.440856933593750000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T15:02:15Z","8408AB4E54FCE5C4","APX1092-queryB.sql",2,3,100,300,257.014863,0,3139.492675781250000000,2746.786743164062500000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T15:07:03Z","8408AB4E54FCE5C4","APX1092-queryB.sql",3,3,100,300,257.422543,0,3144.063842773437500000,2750.211059570312500000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T15:13:55Z","8408AB4E54FCE5C4","APX1130-queryA.sql",1,3,100,300,381.871872,0,-259255.961059570312500000,2479.688415527343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T15:20:47Z","8408AB4E54FCE5C4","APX1130-queryA.sql",2,3,100,300,381.904916,0,2863.319519042968750000,2469.944946289062500000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T15:27:39Z","8408AB4E54FCE5C4","APX1130-queryA.sql",3,3,100,300,381.920907,0,2834.419799804687500000,2459.750122070312500000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
"2026-03-05T15:33:49Z","8408AB4E54FCE5C4","APX1130-queryB.sql",1,3,100,300,340.711174,0,2532.015319824218750000,2197.184509277343750000,,,"queries","all","127.0.0.1:8000","2026-03-05T14:13:05Z"
